wl,name,C,slack,H,ideal,Ko,Kf,kill_mis,n,net_o_nvme,ovh_o_nvme,kill_o_nvme,closs_o_nvme,net_o_sata,ovh_o_sata,kill_o_sata,closs_o_sata,net_f_nvme,ovh_f_nvme,kill_f_nvme,closs_f_nvme,net_f_sata,ovh_f_sata,kill_f_sata,closs_f_sata
A1,FSDP Llama-8B FT,4,tight,8,13.033979073759705,1.854861111111111,2.2708333333333335,10.13888888888889,1440,12.73344074986828,0.30053832389142493,2.013888888888889,-0.17104238916397546,10.825455503089385,2.2085235706703195,16.52777777777778,-1.5023551248334126,10.41348264608971,0.37582401991119235,14.027777777777779,-2.252991021984198,8.02530449120143,2.764002174799473,31.041666666666668,-3.4423253965111207
A1,FSDP Llama-8B FT,4,loose,16,22.577281151347773,2.5840277777777776,3.15625,7.777777777777778,1440,22.21797654146735,0.3593046098804245,0.625,-0.14760526388508954,19.93422023545282,2.6430609158949543,8.402777777777779,-1.7082699360771871,18.19367676608958,0.4645971918247932,9.583333333333334,-5.03867032395877,15.241959238943455,3.4163147189709195,22.569444444444443,-5.355479469220963
A2,vLLM batch inference,2,tight,4,10.92531816919942,0.8576388888888888,1.1715277777777777,16.458333333333332,1440,10.80407581190228,0.12124235729713911,3.1944444444444446,-0.11392589192370575,10.109472042706061,0.8158461264933589,12.708333333333334,-0.9635099953801638,9.084877396689423,0.16866202304061328,19.583333333333332,-2.0678365723477095,8.118365011797845,1.1351744079321928,27.5,-2.7399458088861324
A2,vLLM batch inference,2,loose,8,19.271051856776207,1.1972222222222222,1.551388888888889,11.180555555555555,1440,19.119660897603453,0.1513909591727558,0.3472222222222222,-0.05089415784138709,18.25190666332692,1.0191451934492883,5.972222222222222,-0.862235300718935,15.78132976343565,0.20572314352860374,13.194444444444445,-4.033279971833787,14.602563633368883,1.3844892735953718,20.48611111111111,-4.187739327791636
A3,ViT-Huge train,12,tight,24,15.877465624038642,5.095833333333333,6.129166666666666,5.277777777777778,1440,15.776256431539002,0.10120919249963942,0.06944444444444445,-0.030490315332012918,15.0573687683513,0.8200968556873428,2.1527777777777777,-0.3719710263670669,13.17030726363587,0.12475295846901255,5.625,-2.425857733399807,12.283696499285472,1.01136372281941,13.125,-1.8197139859915068
A3,ViT-Huge train,12,loose,48,25.917242796944702,7.439583333333333,8.947916666666666,3.6111111111111107,1440,25.792374091788723,0.12486870515597967,0.0,0.0,24.904782599612115,1.0124601973325862,0.20833333333333334,-0.8493096649029723,21.700678103935658,0.15999467574992318,4.097222222222222,-4.018274777231202,20.563138922755506,1.2975338569300738,9.027777777777779,-2.97952362004007
A4,DLRM train,1,tight,2,7.378393581269713,0.5,0.6548611111111111,19.72222222222222,1440,7.178625496423767,0.19976808484594577,8.333333333333334,-0.3101165441600795,5.823044493687596,1.5553490875821174,24.583333333333332,-2.547325034508256,5.714852610233724,0.2650050922738153,25.694444444444443,-2.0000479124538613,3.915634896071166,2.064222806436373,38.611111111111114,-4.176172414473008
A4,DLRM train,1,loose,4,15.111880261575726,0.5215277777777778,0.7833333333333333,15.833333333333332,1440,14.920810753843554,0.19106950773217002,3.0555555555555554,-0.26824617674897594,13.623261894373845,1.4886183672018787,13.61111111111111,-2.407394124449342,12.05956365290646,0.29795180469166643,18.26388888888889,-4.412879261294801,10.034374344017928,2.323141113580198,29.791666666666668,-5.689564907046151
A5,GAPBS graph,1,tight,2,7.244414580024175,0.5034722222222222,0.6277777777777778,21.38888888888889,1440,6.584739515217859,0.6596750648063158,16.52777777777778,-1.0576993390661817,4.074238498483186,3.170176081540989,32.291666666666664,-5.660614642477805,5.112237586784474,0.8325224636917735,32.986111111111114,-2.644530712115335,1.9422538675158936,4.002506182960354,46.111111111111114,-6.874643764831718
A5,GAPBS graph,1,loose,4,15.113113476156684,0.5527777777777778,0.7729166666666667,17.01388888888889,1440,14.454188898418087,0.6589245777385984,9.166666666666666,-0.9621209703570083,11.94553007310904,3.1675834030476433,22.569444444444443,-5.06431273599989,11.365205492728666,0.962340072204386,24.02777777777778,-5.239298767339833,7.696630469671608,4.630915095261444,38.05555555555556,-8.773838306374302
